Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
S23A,23805,3.69,180,0.41,0.40,3.46,0.01,0.13,0.17,0.44,0.07,5.57,1.28,1.79,0.38,0.22,1.91,0.32,5.47,0.20,0.26,0.04,5.49,0.13,17.55,0.30,0.08,0.38,0.03,0.22,0.32,5.17,0.03,3.60,0.18,0.89,1.22,0.04,2.25,0.93,0.25,0.24,5.21,0.05,0.05,0.38,0.02,2.79,0.26,0.15,0.17,0.05,0.76,0.13,0.38,0.96,0.09,1.92,0.08,2.93,9.71,0.16,0.02,0.16,0.05,0.01,0.09,1.87,
S24A,1729,3.70,166,0.12,0.40,3.47,0.06,0.17,0,0.46,0.06,5.61,1.50,1.45,0.46,0,1.33,0.29,3.93,0.17,0.69,0,3.30,0.17,15.27,0.46,0.17,0.46,0,0.17,0.35,6.54,0.06,3.01,0.52,1.45,0.69,0,3.88,0.81,0.52,0.46,5.96,0,0.17,0.35,0,2.49,0.06,0,0.12,0.06,1.33,0.23,0.29,1.50,0.35,6.19,0.12,1.33,11.57,0.35,0.06,0.06,0.06,0.06,0.12,1.50,
S24D,3208,3.74,148,0.16,0.78,3.62,0.03,0.06,0.25,0.37,0.09,5.14,0.81,0.94,0.28,0.09,1.62,0.31,5.24,0.22,0.19,0,4.68,0.06,19.95,0.16,0,0.31,0,0.28,0.59,4.43,0,2.93,0.06,1.93,0.90,0,2.28,0.72,0.37,0.28,4.99,0.03,0.03,0.31,0,3.37,0.16,0.12,0.19,0.03,0.62,0.06,0.50,1.34,0.12,3.49,0.09,2.99,9.79,0.37,0,0.16,0.25,0.03,0.06,2.03,
S24E,7595,3.69,143,0.47,0.70,3.84,0,0.30,0.07,0.43,0.11,5.53,0.87,1.09,0.20,0.11,2.13,0.36,5.42,0.29,0.33,0.07,4.85,0.17,14.44,0.47,0.21,0.43,0.01,0.16,0.39,6.23,0,3.36,0.74,0.51,1.17,0.03,3.23,0.87,0.55,0.46,5.82,0.08,0.01,0.25,0.03,3.21,0.20,0.29,0.13,0.01,1.21,0.34,0.25,1.50,0.07,3.27,0.07,3.29,10.80,0.18,0.01,0.07,0.01,0,0.04,1.83,
S263,19565,3.65,144,0.42,0.84,3.32,0.01,0.15,0.08,0.35,0.02,5.15,0.78,1.25,0.60,0.11,1.37,0.41,5.08,0.26,0.24,0.06,5.23,0.12,17.59,0.28,0.10,0.45,0.03,0.38,0.29,5.43,0.02,3.08,0.25,0.59,0.88,0.04,2.74,0.99,0.39,0.50,6.48,0.05,0.04,0.25,0.02,3.32,0.36,0.10,0.19,0.03,0.93,0.14,0.38,1.09,0.08,3.12,0.07,3.53,9.77,0.21,0.04,0.13,0.12,0.02,0.11,1.54,
S26N,7772,3.62,150,0.18,0.78,3.71,0,0.21,0.13,0.42,0.01,5.85,1.06,1.30,0.22,0.27,1.43,0.55,4.79,0.22,0.09,0.01,4.34,0.19,16.91,0.14,0.09,0.44,0.03,0.46,0.33,5.40,0,3.08,0.32,0.89,0.80,0.01,2.32,0.68,0.36,0.62,5.75,0.04,0.06,0.08,0.03,3.06,0.30,0.13,0.09,0.03,0.66,0.12,0.44,1.24,0.08,4.03,0.17,6.03,8.26,0.19,0.03,0.08,0.05,0.03,0.15,2.69,
S27D,6241,3.74,167,0.21,1.22,3.06,0,0.18,0.08,0.42,0.02,6.79,1.17,1.49,0.66,0.14,1.78,0.29,5.24,0.21,0.21,0.02,3.62,0.35,16.20,0.48,0.06,0.46,0.02,0.19,0.37,4.57,0.05,3.48,0.27,0.71,1.07,0.11,3.56,0.40,0.77,0.85,4.31,0.05,0.06,0.27,0.03,2.72,0.37,0.13,0.11,0.05,1.27,0.30,0.38,1.33,0.08,4.84,0.13,2.98,12.15,0.37,0,0.16,0.10,0.03,0.14,2.66,
S28F,26444,3.60,153,0.14,0.96,3.18,0,0.22,0.05,0.42,0.03,5.79,0.84,1.24,0.14,0.12,2.30,0.28,5.50,0.30,0.23,0.05,4.78,0.09,14.04,0.39,0.17,0.43,0,0.17,0.56,5.62,0.00,3.05,0.25,0.85,1.00,0.07,2.44,1.15,0.84,1.01,6.05,0.04,0.03,0.44,0.07,3.54,0.23,0.05,0.13,0.04,0.98,0.14,0.47,1.23,0.08,4.03,0.08,4.03,9.16,0.17,0.02,0.05,0.07,0.01,0.15,1.53,
S29Q,4155,3.67,154,0.10,0.22,3.10,0,0.02,0.14,0.17,0.05,4.86,1.03,1.03,0.07,0.05,2.12,0.12,6.69,0.02,0.10,0.07,4.74,0.10,17.71,0.24,0.05,0.36,0,0.14,0.26,4.62,0,2.33,0.14,0.41,1.18,0.02,2.50,0.39,0.19,0.31,4.72,0.02,0,0.29,0.02,3.13,0.26,0.10,0.41,0.02,0.84,0.12,0.34,0.75,0.02,5.01,0.02,5.78,9.34,0.34,0.07,0.31,0.07,0,0.17,2.38,
S29X,2742,3.77,176,0.58,1.09,3.46,0,0.29,0.15,0.22,0.04,5.40,1.02,0.98,0.55,0.29,1.86,0.26,6.60,0.62,0.33,0.07,5.32,0,13.89,1.17,0.07,0.47,0,0.58,0.55,5.36,0.04,2.84,0.22,1.06,0.98,0,2.44,1.24,0.66,0.26,6.35,0.04,0,0.33,0,2.66,0.26,0.18,0.29,0,0.95,0.15,0.22,1.20,0.15,2.70,0,3.61,8.83,0.11,0.04,0.04,0.11,0,0.07,1.68,
S2A5,1829,3.63,176,0.05,0.82,2.79,0,0.05,0.11,0.38,0.11,6.23,0.77,1.42,0.66,0.16,1.20,0.05,5.96,0.11,0.44,0,4.54,0.16,16.89,0.33,0.27,0.55,0,0.27,0.22,5.69,0.05,2.62,0.22,1.04,1.09,0,2.73,0.87,0.38,0.55,4.26,0,0,0.22,0,4.32,0.11,0.11,0.11,0.05,1.09,0.11,0.66,0.87,0.05,4.21,0.05,3.23,10.72,0.27,0,0.16,0.05,0,0.05,2.02,
S2AJ,4073,3.57,154,0.17,0.79,3.39,0,0.83,0.15,0.29,0.02,5.52,0.69,1.03,0.15,0.10,2.46,0.15,7.02,0.15,0.42,0.05,3.07,0.27,11.91,0.10,0.02,0.52,0.02,0.34,0.34,3.81,0,3.27,0.15,0.91,1.64,0,2.36,0.56,0.42,0.47,6.02,0,0.02,0.29,0,2.68,0.17,0.12,0.20,0.07,0.81,0.20,0.54,1.20,0.07,6.02,0.10,7.66,7.81,0.42,0,0.22,0.02,0,0.07,2.68,
S2AX,14086,3.67,152,0.10,0.37,3.16,0.02,0.16,0.25,0.77,0.06,6.18,1.09,1.13,0.50,0.16,2.13,0.40,6.35,0.21,0.55,0.05,4.25,0.21,13.91,0.45,0.05,0.43,0.01,0.23,0.25,5.05,0.01,3.09,0.07,0.67,0.84,0.02,3.82,0.92,0.32,0.59,4.38,0.01,0.01,0.38,0.01,4.15,0.26,0.08,0.05,0.04,1.36,0.19,0.22,1.09,0.07,1.95,0.10,2.97,11.30,0.16,0.03,0.04,0.13,0.02,0.06,2.38,
S2B5,7250,3.76,154,0.25,0.90,2.97,0,0.68,0.15,0.50,0.03,5.92,1.06,1.30,0.73,0.22,1.82,0.43,4.46,0.28,0.26,0.01,3.75,0.29,14.26,0.62,0.08,0.46,0,0.34,0.30,5.38,0,2.52,0.44,0.69,0.87,0.04,2.86,1.14,0.43,0.59,4.86,0.04,0.11,0.46,0.04,2.74,0.21,0.11,0.08,0.01,1.08,0.28,0.41,1.90,0.11,5.57,0.10,3.53,10.21,0.23,0.01,0.07,0.10,0.03,0.21,2.37,
S2C9,24946,3.62,154,0.12,0.67,3.12,0,0.21,0.08,0.38,0.02,6.27,0.87,1.01,0.14,0.19,2.28,0.33,7.04,0.17,0.24,0.07,3.69,0.07,13.65,0.24,0.09,0.34,0.01,0.20,0.40,5.28,0.00,3.03,0.22,0.78,0.99,0.02,2.87,1.10,0.50,0.52,5.49,0.02,0.06,0.43,0.02,2.69,0.20,0.18,0.12,0.03,0.90,0.17,0.29,1.17,0.08,3.76,0.07,3.74,9.94,0.27,0.02,0.06,0.04,0.01,0.10,1.83,
S2CY,2639,3.68,154,0.49,0.64,2.96,0,0.42,0.04,0.38,0.04,3.90,1.74,0.87,0.30,0.30,0.80,0.42,3.71,0.27,0.57,0,4.09,0.04,16.52,0.08,0.04,0.68,0,0.30,0.23,5.80,0,4.36,0.11,0.72,0.87,0,2.96,0.34,0.61,0.15,5.91,0.15,0,0.19,0,2.12,0.34,0.19,0.08,0,0.83,0.11,0.42,1.36,0.08,5.49,0.15,6.74,8.03,0.42,0.04,0.04,0.19,0,0,1.82,
S2DD,10978,3.67,166,0.19,0.39,3.75,0.01,0.05,0.12,0.39,0.05,6.84,1.09,1.32,0.48,0.07,1.35,0.55,5.68,0.31,0.16,0.01,3.87,0.21,15.92,0.35,0.07,0.42,0,0.55,0.22,5.06,0,4.04,0.14,0.77,1.23,0.08,2.78,1.28,0.51,0.79,4.91,0.06,0.03,0.31,0.01,3.11,0.26,0.09,0.10,0.03,1.22,0.07,0.38,1.20,0.10,4.01,0.05,4.47,10.48,0.35,0.01,0.18,0.03,0.01,0.14,3.18,
S2E2,4821,3.92,152,0.37,1.66,2.57,0,0.29,0.10,0.58,0.04,4.31,0.89,0.79,0.06,0.08,1.72,0.33,4.56,0.25,0.68,0,4.71,0.19,20.66,2.05,0.08,0.31,0.02,0.19,0.25,6.08,0.04,2.34,0.17,1.14,0.73,0.08,3.19,0.95,0.35,0.73,5.60,0.12,0.02,0.44,0.04,5.27,0.54,0.39,0.04,0.06,0.97,0.29,0.25,1.20,0.25,1.35,0.12,0.89,9.60,0.10,0.02,0.15,0.17,0,0.06,0.87,
S2EF,16037,3.67,157,0.06,0.62,3.14,0.02,0.07,0.22,0.32,0.02,5.52,0.79,1.26,0.22,0.12,1.62,0.44,6.65,0.22,0.11,0.02,4.23,0.17,15.46,0.44,0.06,0.47,0.02,0.26,0.26,5.11,0.02,3.16,0.22,0.80,1.21,0.04,2.42,0.53,0.52,0.35,5.14,0.07,0.01,0.21,0.01,2.75,0.28,0.16,0.18,0.03,0.79,0.10,0.35,1.28,0.08,3.09,0.10,4.99,9.78,0.32,0.05,0.27,0.10,0.01,0.06,1.96,
S2FQ,5417,4.05,180,0.24,0.78,3.40,0.02,0.48,0.07,0.39,0.11,2.97,1.92,1.11,0.28,0.07,1.53,0.41,3.29,0.22,0.33,0.04,4.69,0.07,15.25,1.26,0.13,0.66,0,0.39,0.41,8.21,0.02,2.62,0.31,0.96,0.83,0,2.46,0.66,0.33,0.61,4.39,0.04,0.04,0.26,0.02,2.62,0.24,0.20,0.04,0.07,0.57,0.33,0.22,2.23,0.18,2.88,0.24,1.98,10.34,0.28,0.09,0.13,0.48,0.06,0.30,1.09,
S2FT,2756,3.76,178,0.22,0.47,2.94,0,0.07,0.04,0.44,0.04,4.83,1.05,1.05,0.76,0.11,1.63,0.65,5.81,0.22,0.73,0.04,4.93,0.11,17.45,0.44,0.11,0.47,0,0.40,0.33,5.59,0,2.94,0.25,0.65,1.09,0.04,3.77,0.91,0.65,0.58,6.46,0.04,0.07,0.44,0,2.43,0.44,0.07,0.22,0,1.09,0.18,0.36,0.94,0.11,1.23,0,3.12,9.58,0.33,0,0.11,0.18,0,0.15,2.10,
S2GC,10522,3.74,161,0.12,0.47,2.83,0,0.09,0.05,0.44,0.05,6.60,1.48,1.54,0.64,0.10,2.02,0.33,5.84,0.48,0.31,0.04,5.20,0.16,15.75,0.50,0.10,0.29,0.01,0.38,0.27,5.34,0,3.45,0.13,0.96,0.75,0.08,2.42,0.63,0.89,1.02,4.99,0.09,0.03,0.29,0.05,2.59,0.29,0.11,0.14,0.08,0.96,0.16,0.54,1.32,0.05,2.60,0.06,2.52,10.95,0.20,0.03,0.15,0.06,0.04,0.03,2.40,
S2GS,1935,3.76,168,0.21,0.41,3.82,0,0.05,0.21,0.16,0,6.05,0.88,1.65,0.72,0.21,2.48,0.98,4.08,0.31,0.67,0,6.36,0.21,20.10,0.10,0.05,0.26,0,0.36,0.21,5.12,0,3.67,0.47,0.62,1.03,0.10,2.69,0.62,0.41,0.41,5.74,0.05,0,0.88,0,1.91,0.41,0.16,0.10,0,0.93,0.16,0.31,0.52,0,2.48,0.05,2.02,10.23,0.10,0.05,0.16,0.10,0,0.05,1.65,
S2JK,3429,3.66,173,0.44,0.61,2.80,0,0.29,0.12,0.35,0,4.75,0.67,0.76,0.52,0.29,1.31,0.47,5.95,0.23,0.29,0.06,4.14,0.09,18.61,0.47,0.15,0.38,0,0.50,0.17,4.40,0,2.86,0.23,1.25,0.82,0.09,2.22,0.76,0.41,0.70,4.23,0.09,0,0.29,0,3.35,0.20,0.35,0.17,0,0.64,0.15,0.64,1.46,0.09,2.33,0.20,3.53,9.24,0.23,0.06,0.41,0.12,0.03,0.12,2.22,
S2JV,4128,3.75,142,0.24,1.74,2.69,0,0.24,0.12,0.31,0.02,3.92,0.70,1.11,0.31,0.24,1.38,0.36,3.27,0.31,0.22,0.02,4.26,0.07,18.12,0.15,0.19,0.12,0,0.31,0.68,4.70,0,2.03,0.19,1.21,0.58,0,2.20,0.90,0.36,0.63,5.98,0.05,0,0.39,0,2.16,0.19,0.22,0.15,0,0.94,0.17,0.36,0.99,0.05,6.83,0.17,5.31,7.46,0.19,0,0.12,0.12,0,0.05,1.60,
S2K6,2541,3.59,150,0.04,0.35,2.72,0,0.35,0.08,0.71,0,6.49,0.79,0.47,0.83,0.16,2.28,0.39,6.69,0.59,0.28,0.04,4.13,0.16,12.95,0.12,0,0.16,0,0.08,0.47,4.57,0,5.47,0.24,1.26,0.87,0,2.72,0.87,0.35,0.35,4.88,0,0.04,0.35,0,4.49,0.16,0.08,0.12,0.04,0.63,0.04,0.12,1.38,0.08,1.14,0,4.41,10.31,0.24,0,0.16,0,0,0.08,3.03,
S2K7,14695,3.74,133,0.25,0.65,3.66,0.01,0.17,0.12,0.31,0.04,5.08,0.99,1.05,0.32,0.15,1.55,0.38,4.50,0.39,0.05,0.03,3.95,0.10,16.03,0.27,0.11,0.67,0.02,0.48,0.31,5.93,0,3.45,0.31,0.71,1.20,0.02,2.25,0.91,0.35,0.56,5.36,0.02,0.07,0.37,0.02,2.35,0.29,0.18,0.18,0.04,0.90,0.16,0.39,1.52,0.08,4.46,0.11,5.97,8.04,0.24,0.01,0.16,0.13,0,0.14,1.95,
S2KP,10699,3.65,155,0.12,0.29,2.93,0.01,0.11,0.19,0.29,0.05,6.30,0.97,1.16,0.32,0.24,1.54,0.41,5.77,0.21,0.17,0.05,4.42,0.21,15.84,0.16,0.14,0.62,0.05,0.42,0.28,6.10,0,4.45,0.29,0.68,0.68,0.06,2.07,0.89,0.60,0.38,6.10,0.05,0.05,0.40,0.03,3.65,0.43,0.16,0.17,0.04,0.68,0.06,0.60,1.03,0.07,2.71,0.10,4.08,9.50,0.20,0.01,0.17,0.01,0.01,0.09,2.85,
S2LC,9425,3.76,148,0.07,0.59,3.02,0.03,0.40,0.24,0.62,0.01,6.33,1.16,0.95,0.60,0.07,1.98,0.68,5.70,0.22,0.45,0.04,4.44,0.19,13.35,0.39,0.12,0.48,0.01,0.19,0.37,5.06,0.01,4.12,0.17,1.04,0.88,0.08,3.19,1.05,0.51,0.46,5.46,0.03,0.06,0.32,0.01,2.88,0.24,0.07,0.04,0.03,1.01,0.15,0.33,1.18,0.11,2.91,0.05,2.79,10.82,0.29,0.01,0.16,0.14,0,0.12,2.78,
S2LD,11820,3.62,171,0.06,0.27,3.25,0.01,0.19,0.11,0.44,0.02,5.97,1.21,0.93,0.04,0.17,1.95,0.19,7.43,0.16,0.14,0.04,4.09,0.18,16.11,0.17,0.09,0.44,0.01,0.18,0.19,4.26,0,2.51,0.12,0.73,1.05,0.03,2.56,0.77,0.49,0.41,4.58,0.01,0.01,0.27,0.01,3.18,0.20,0.09,0.31,0.03,0.85,0.19,0.46,1.55,0.09,3.72,0.09,3.66,10.58,0.25,0,0.34,0.03,0.02,0.06,2.66,
S2NQ,4775,3.62,163,0.13,0.96,2.66,0.02,0.21,0.17,0.34,0,5.53,0.90,1.34,0.17,0.02,1.78,0.61,4.27,0.29,0.36,0.02,4.57,0.08,15.58,0.15,0.04,0.52,0,0.15,0.36,5.01,0.02,4.48,0.25,0.65,0.88,0.04,3.04,0.86,0.61,1.09,5.99,0.04,0.02,0.29,0,2.09,0.38,0.13,0.10,0.02,1.28,0.17,0.46,0.96,0.04,6.14,0.10,5.76,9.32,0.15,0.04,0.02,0.04,0,0.08,1.49,
S2PS,5627,3.64,140,0.55,1.28,3.61,0.02,0.20,0.16,0.52,0.09,6.63,0.80,1.46,0.39,0.09,1.94,0.28,5.60,0.14,0.76,0.04,3.70,0.18,16.39,0.41,0.11,0.39,0.05,0.30,0.16,5.78,0.02,4.87,0.11,1.55,1.21,0.02,3.93,1.28,0.50,0.98,4.98,0.05,0,0.43,0.02,3.96,0.39,0.12,0.07,0.09,1.37,0.25,0.23,1.16,0.18,2.72,0.02,1.72,10.45,0.20,0.02,0.05,0.07,0,0.09,2.93,
S2PY,10104,3.66,145,0.23,0.98,3.12,0.01,0.11,0.04,0.39,0.05,5.96,0.99,1.39,0.74,0.10,1.31,0.40,4.43,0.13,0.48,0.11,4.21,0.20,18.41,0.49,0.09,0.56,0.02,0.27,0.34,4.42,0,2.82,0.17,0.82,0.81,0.03,3.34,0.80,0.42,0.35,5.33,0.07,0.06,0.31,0.01,3.81,0.41,0.11,0.20,0.03,1.11,0.07,0.48,1.15,0.04,4.62,0.06,3.92,10.22,0.23,0.04,0.08,0.14,0.02,0.15,2.43,
S2QU,7975,3.62,170,0.30,0.70,3.85,0.01,0.18,0.05,0.49,0.03,6.51,0.93,1.12,0.21,0.18,2.02,0.34,5.13,0.24,0.24,0.06,5.22,0.16,13.38,0.29,0.16,0.73,0,0.19,0.48,5.47,0,3.91,0.28,0.59,1.19,0.01,2.80,0.64,0.50,0.58,5.10,0.03,0.03,0.34,0.03,2.70,0.25,0.19,0.11,0.06,1.17,0.15,0.43,1.42,0.11,5.14,0.05,4.15,11.07,0.25,0.03,0.14,0.08,0,0.06,2.31,
S2RD,3371,3.60,178,0.12,0.24,3.29,0.03,0.30,0.24,0.53,0,6.97,0.65,1.25,0.18,0.33,1.54,0.21,7.51,0.09,0.21,0.03,3.03,0.21,18.51,0.56,0.03,0.53,0.03,0.09,0.39,5.40,0,2.61,0.12,0.59,0.95,0.18,2.05,0.92,0.44,0.77,5.01,0.03,0,0.30,0,3.77,0.39,0.30,0.15,0.03,0.68,0.15,0.47,1.01,0.06,3.17,0.03,3.11,11.33,0.15,0.03,0.27,0,0.03,0.24,2.82,
S2T6,23336,3.64,143,0.08,1.60,2.65,0.01,0.06,0.10,0.29,0.02,5.15,1.22,1.62,0.68,0.17,1.20,0.40,4.38,0.18,0.61,0.06,3.82,0.12,16.58,0.14,0.13,0.34,0.02,0.29,0.45,4.95,0.00,2.81,0.31,0.83,0.74,0.09,3.29,0.86,0.51,0.49,5.73,0.08,0.02,0.24,0.02,4.01,0.43,0.09,0.13,0.01,1.00,0.09,0.44,1.06,0.04,4.50,0.08,4.56,9.76,0.30,0.03,0.07,0.06,0.02,0.06,2.14,
S2TC,2472,3.56,185,0.12,1.05,3.32,0,0.24,0.08,0.40,0.08,5.46,0.57,1.05,0.44,0.12,1.33,0.08,7.00,0.20,0.40,0,5.22,0.04,18.24,0.16,0.12,0.73,0,0.28,0.08,4.37,0,2.95,0.24,1.21,0.97,0,2.43,0.36,0.53,1.17,5.42,0,0.08,0.24,0,3.32,0.04,0.08,0.20,0.12,1.13,0.16,0.53,1.66,0.16,2.39,0.08,2.79,10.88,0.28,0,0.32,0.08,0,0.08,2.27,
S2TP,2902,3.70,153,0.17,0.86,2.72,0,0.21,0.07,0.41,0.03,5.62,1.10,1.34,0.07,0.17,1.62,1.17,4.55,0,0.69,0,5.89,0.17,17.57,0.55,0.07,0.34,0,0.41,0.41,4.82,0,2.72,0.45,0.69,0.96,0,1.45,0.83,0.31,0.21,6.48,0.10,0,0.28,0,1.86,0.41,0.28,0.14,0.03,0.69,0.10,0,1.00,0.07,2.79,0.03,2.83,9.89,0.03,0.03,0,0.03,0.03,0.07,1.41,
S2U9,3938,3.71,150,0.10,1.02,3.66,0,0.15,0.10,0.28,0.05,5.28,1.12,1.09,0.38,0.10,1.50,0.61,4.49,0.20,0.05,0.03,4.55,0.03,18.44,0.36,0.08,0.53,0,0.15,0.43,5.46,0,4.04,0.23,0.86,0.91,0.05,2.92,0.71,0.61,0.66,4.44,0.08,0,0.15,0,3.53,0.41,0.13,0.15,0.03,0.99,0.25,0.33,1.07,0.08,3.58,0.03,5.61,9.09,0.20,0,0.18,0.20,0,0.10,1.65,
S2UJ,6080,3.76,176,0.28,0.54,3.62,0,0.28,0.20,0.38,0.05,6.17,1.12,1.13,0.56,0.21,1.20,0.58,4.69,0.30,0.08,0.07,4.00,0.15,16.13,0.35,0.05,0.58,0,0.33,0.35,4.69,0,3.36,0.15,1.23,0.90,0.03,1.94,1.10,0.44,0.53,5.18,0,0.02,0.35,0,3.68,0.38,0.10,0.16,0.03,0.53,0.15,0.56,1.35,0.08,4.26,0.02,4.61,9.56,0.18,0,0.31,0,0.03,0.12,2.70,
S2UT,10844,3.63,161,0.27,0.64,2.47,0.01,0.44,0.07,0.53,0.09,5.39,1.43,1.14,0.68,0.18,1.35,0.66,6.69,0.21,0.31,0.04,3.64,0.20,12.99,0.25,0.16,0.66,0,0.69,0.27,6.00,0.02,3.76,0.21,0.94,0.83,0.02,3.16,0.89,0.72,0.55,6.41,0.08,0.09,0.32,0.01,1.90,0.19,0.09,0.06,0.07,1.24,0.20,0.39,1.54,0.16,2.43,0.08,5.08,8.53,0.37,0.06,0.02,0.14,0.02,0.13,2.08,
S2W4,8871,3.62,175,0.05,0.35,3.08,0.01,0.09,0.17,0.27,0.01,6.75,1.03,1.58,0.14,0.19,1.32,0.32,7.17,0.28,0.10,0.05,3.97,0.10,19.21,0.18,0.03,0.47,0,0.23,0.32,5.03,0,3.93,0.16,0.67,0.96,0.05,2.21,0.85,0.44,0.46,4.45,0.02,0,0.33,0,3.44,0.33,0.29,0.11,0.02,0.62,0.15,0.35,0.95,0.06,2.07,0.06,2.95,11.10,0.36,0,0.48,0.06,0,0.10,1.97,
S2XJ,7730,3.67,167,0.27,0.75,3.45,0,0.21,0.12,0.74,0.03,5.71,0.87,0.89,0.28,0.17,1.24,0.44,3.42,0.36,0.18,0.09,4.06,0.21,17.62,0.28,0.05,0.40,0.04,0.27,0.19,6.13,0,3.13,0.26,0.98,0.89,0.05,1.90,1.00,0.36,0.40,5.95,0.05,0,0.19,0.01,4.13,0.45,0.09,0.16,0.01,0.74,0.16,0.34,1.35,0.05,3.80,0.14,3.91,9.09,0.09,0.01,0.14,0.04,0.01,0.21,2.43,
S2XV,18522,3.82,175,0.29,1.14,3.39,0.01,0.33,0.05,0.49,0.06,5.86,0.90,1.05,0.28,0.15,1.67,0.45,4.48,0.50,0.32,0.11,3.66,0.19,13.99,0.91,0.12,0.82,0.02,0.49,0.38,6.68,0.01,2.65,0.24,0.87,0.99,0.04,1.95,1.04,0.61,0.69,5.33,0.07,0.04,0.41,0.03,2.34,0.37,0.15,0.13,0.06,0.77,0.19,0.30,1.82,0.12,5.88,0.15,4.65,8.90,0.19,0.05,0.09,0.21,0.03,0.21,1.91,
S2Y5,2582,3.78,156,0.15,0.35,3.14,0,0.12,0.27,0.39,0.04,6.47,0.97,0.97,0.43,0.31,1.16,0.31,5.00,0.43,0.04,0.08,4.76,0.15,19.09,0.12,0.19,0.46,0.04,0.15,0.62,4.84,0,3.10,0.08,0.89,0.74,0.04,1.63,0.89,0.50,0.77,4.61,0,0.04,0.08,0.08,3.87,0.08,0.46,0.15,0,0.39,0.19,0.39,0.89,0.08,4.26,0.04,4.45,10.15,0.19,0,0.46,0,0,0,3.41,
S2YK,8046,3.68,161,0.21,0.48,3.75,0,0.06,0.16,0.53,0.06,6.34,0.92,1.70,0.04,0.14,2.25,0.22,4.24,0.21,0.34,0,5.57,0.09,15.36,0.29,0.14,0.52,0.01,0.31,0.37,5.73,0,2.98,0.22,0.73,1.68,0.06,2.62,1.18,0.73,0.81,6.21,0.05,0.05,0.41,0.05,3.72,0.34,0.16,0.06,0.04,0.82,0.20,0.57,1.68,0.11,2.65,0.02,1.78,10.86,0.32,0,0.10,0.21,0.01,0.27,1.47,
S2ZU,23515,3.60,174,0.40,0.63,3.56,0,0.11,0.12,0.41,0.05,6.20,0.95,1.29,0.54,0.16,1.58,0.48,5.88,0.28,0.38,0.12,4.37,0.12,14.31,0.29,0.06,0.44,0.01,0.22,0.28,4.92,0.00,3.56,0.23,0.90,1.40,0.03,2.91,1.11,0.51,0.37,5.22,0.03,0.02,0.33,0.02,3.02,0.38,0.14,0.19,0.05,1.02,0.20,0.36,1.37,0.04,3.67,0.06,3.67,10.41,0.26,0.01,0.18,0.11,0.01,0.12,2.24,
S323,1737,3.65,161,0.12,0.23,4.15,0,0.29,0.06,0.86,0.12,6.79,0.69,0.98,0.17,0.29,1.84,0.17,7.25,0.12,0.40,0,3.80,0.23,16.58,0.29,0.06,0.40,0,0.23,0.29,3.74,0,2.36,0.23,1.27,2.07,0,2.13,1.21,0.58,0.40,4.89,0.06,0,0.63,0,3.80,0.23,0,0.35,0,0.58,0,0.46,1.38,0.06,0.52,0,1.84,10.71,0.17,0,0.52,0,0.06,0.35,3.22,
S32W,14453,3.58,179,0.13,1.94,3.02,0,0.06,0.01,0.41,0.06,4.95,0.67,0.98,0.19,0.17,2.12,0.30,7.09,0.26,0.46,0.01,4.44,0.06,16.11,0.65,0.19,0.37,0.03,0.24,0.31,5.89,0,2.33,0.24,0.58,0.72,0.08,2.01,1.25,0.62,0.47,6.34,0.11,0.01,0.39,0.04,2.18,0.42,0.12,0.09,0.05,0.57,0.18,0.51,1.60,0.08,2.41,0.07,4.14,7.85,0.10,0.01,0.07,0.14,0.01,0.07,1.25,
S32Y,11661,3.61,163,0.33,1.35,2.96,0,0.36,0.09,0.63,0.10,4.94,0.78,1.01,0.40,0.08,1.07,0.32,4.61,0.21,0.16,0.04,4.18,0.17,18.21,0.67,0.16,0.56,0.01,0.23,0.36,6.05,0,3.04,0.19,0.76,0.87,0.05,2.80,0.93,0.34,0.55,5.20,0.10,0.06,0.39,0.01,3.20,0.39,0.16,0.11,0.02,0.81,0.11,0.57,1.29,0.09,4.12,0.10,4.51,8.64,0.16,0.03,0.05,0.18,0,0.12,1.73,
S33B,9930,3.76,183,0.27,1.28,2.66,0.01,0.27,0.05,0.24,0.06,4.06,0.58,0.54,0.48,0.14,0.96,0.44,4.35,0.34,0.11,0.01,4.19,0.09,18.12,0.66,0.10,0.64,0.02,0.32,0.66,6.71,0.01,2.92,0.53,0.66,0.73,0.01,2.27,0.79,0.56,0.42,5.48,0.02,0.06,0.24,0.01,1.65,0.17,0.09,0.07,0.01,0.79,0.22,0.34,1.47,0.15,4.24,0.06,4.55,8.15,0.17,0.01,0.06,0.18,0.05,0.20,1.51,
