Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
SJNC,8217,3.63,121,0.05,0.41,3.19,0.02,0.07,0.27,0.55,0.04,6.27,0.72,1.41,0.51,0.22,1.75,0.24,7.30,0.33,0.24,0.01,4.34,0.19,16.95,0.21,0.12,0.38,0.01,0.19,0.33,4.61,0.01,3.61,0.24,1.13,1.25,0.01,2.51,0.69,0.65,0.22,4.43,0.05,0,0.29,0.01,2.19,0.34,0.09,0.23,0.02,0.62,0.06,0.33,0.97,0.02,2.64,0.07,3.68,10.25,0.28,0.05,0.34,0.06,0.04,0.04,2.48,
SJNJ,15264,3.75,180,0.20,1.23,2.95,0,0.35,0.08,0.38,0.05,6.36,1.16,1.62,0.45,0.20,1.14,0.60,4.63,0.24,0.16,0.07,4.11,0.19,17.93,0.63,0.04,0.50,0,0.28,0.27,5.84,0,3.07,0.29,0.69,0.71,0.04,3.15,0.70,0.45,0.73,4.15,0.05,0,0.28,0.01,3.73,0.31,0.18,0.18,0.03,1.07,0.14,0.36,1.17,0.08,3.85,0.14,3.11,11.27,0.20,0.01,0.13,0.10,0.03,0.18,2.10,
SJRQ,14698,3.61,153,0.14,0.43,3.45,0.01,0.11,0.16,0.67,0.02,7.06,1.06,1.17,0.59,0.16,1.50,0.43,5.82,0.10,0.21,0.07,4.14,0.16,15.46,0.35,0.10,0.52,0.02,0.24,0.52,5.12,0,3.95,0.20,1.22,0.99,0.02,2.42,1.58,0.52,0.33,5.22,0,0.01,0.33,0,4.30,0.35,0.27,0.15,0.01,0.82,0.15,0.51,1.27,0.05,2.65,0.05,2.69,11.00,0.30,0.01,0.31,0.03,0.01,0.08,2.16,
SJRX,3329,3.68,165,0.09,0.54,3.84,0,0.66,0.27,0.36,0,4.06,1.14,1.23,0.42,0.24,0.87,0.57,4.84,0.21,0.24,0.12,3.15,0.30,16.70,0.18,0.12,0.33,0,0.60,0.33,4.84,0,2.79,0.24,0.93,0.69,0,2.04,1.17,0.57,0.48,5.02,0,0.03,0.33,0,3.12,0.24,0.12,0.15,0.03,0.69,0.21,0.93,0.84,0.03,5.92,0.18,5.92,9.31,0.18,0.06,0.21,0.09,0,0.06,2.46,
SJSC,12061,3.68,153,0.22,0.79,2.93,0.01,0.24,0.05,0.38,0.02,6.32,0.76,1.13,0.76,0.20,1.09,0.21,5.99,0.23,0.09,0.04,3.61,0.08,15.79,0.30,0.08,0.69,0.02,0.36,0.29,5.86,0.01,2.35,0.26,1.02,0.88,0.02,1.94,0.93,0.61,0.86,5.54,0.05,0.01,0.32,0,2.55,0.31,0.22,0.20,0.02,0.79,0.13,0.41,1.25,0.03,5.03,0.02,4.93,8.97,0.17,0.02,0.17,0.09,0.02,0.13,2.56,
SJSQ,11102,3.72,171,0.56,0.90,3.88,0.01,0.19,0.02,0.15,0.05,4.98,1.13,1.77,0.23,0.17,1.64,0.56,5.42,0.28,0.23,0.05,5.61,0.09,17.28,0.48,0.10,0.47,0,0.35,0.28,6.12,0,3.97,0.13,0.87,0.97,0.01,2.04,0.50,0.28,0.45,5.76,0.04,0.02,0.25,0.01,2.13,0.11,0.14,0.09,0.05,0.68,0.22,0.34,0.95,0.09,2.40,0.09,4.78,8.41,0.17,0.04,0.05,0.05,0.03,0.19,1.54,
SJSS,5762,3.56,162,0.10,0.76,2.79,0,0.23,0.21,0.50,0,6.49,0.76,0.68,0.19,0.16,2.83,0.43,7.84,0.16,0.05,0.05,3.71,0.05,15.31,0.09,0.07,0.36,0,0.17,0.30,4.37,0,4.79,0.24,0.78,1.09,0.09,1.94,0.80,0.47,0.19,5.43,0.02,0,0.23,0,3.21,0.19,0.10,0.14,0.03,0.69,0.17,0.35,0.66,0.09,2.08,0.09,3.97,11.25,0.21,0,0.10,0.02,0.02,0.09,2.07,
SJTE,2152,3.55,139,0.14,0.65,4.00,0,0.33,0,0.79,0.05,6.74,0.70,0.56,0.84,0.33,1.91,0.28,5.30,0.14,0.28,0.09,5.34,0.19,14.27,0.51,0.05,0.51,0,0.37,0.28,4.83,0,3.21,0.09,1.44,0.98,0,1.95,1.16,0.23,0.42,3.86,0.09,0.05,0.42,0,2.51,0.09,0,0,0,1.07,0.14,1.30,1.81,0.09,6.60,0.05,2.46,11.11,0.14,0,0.09,0,0,0.09,2.70,
SJTT,9287,3.71,182,0.28,0.62,2.96,0,0.26,0.03,0.23,0.02,4.44,1.10,0.53,0.11,0.14,1.92,0.32,6.34,0.34,0.19,0.10,3.93,0.04,16.00,0.60,0.13,0.61,0,0.24,0.60,6.84,0.02,2.64,0.30,0.67,0.88,0.03,1.86,0.67,0.67,0.15,5.93,0.01,0.05,0.24,0,2.26,0.18,0.30,0.10,0.04,0.80,0.10,0.44,1.56,0.10,3.13,0,4.99,8.02,0.16,0.02,0.16,0.19,0.01,0.16,1.46,
SJTU,8958,3.61,170,0.11,0.23,3.49,0,0.16,0.19,0.40,0.03,6.64,0.85,1.47,0.10,0.07,1.73,0.23,7.76,0.27,0.12,0.02,4.84,0.22,15.08,0.32,0.10,0.33,0.03,0.20,0.15,4.47,0,3.44,0.08,1.19,1.34,0.01,1.89,0.97,0.96,0.60,4.11,0.02,0.02,0.32,0,3.97,0.42,0.16,0.21,0.07,0.60,0.17,0.55,1.15,0.08,2.79,0.15,3.14,11.05,0.17,0.01,0.29,0.02,0.01,0.13,2.02,
