"filename","cefr","Dep_Clauses_per_Clause","lexical_density_types","B1","wpm","B2"
"C1_challenges_at_work","C1",0.384615385,0.833333333,6.38820638820639,168.75,2.45700245700246
"C1_class_clown","C1",0.128205128,0.707317073,2.29885057471264,86.5193370165746,1.14942528735632
"C1_creativity_great_part_1","C1",0.297297297,0.722222222,5.32212885154062,117.692307692308,1.68067226890756
"C1_creativity_great_part_2","C1",0.219512195,0.776061776,4.78955007256894,127.015384615385,1.01596516690856
"C1_david_beckham_puts_brooklyn_his_place","C1",0.275862069,0.687943262,2.8328611898017,175.537190082645,1.98300283286119
"C1_day_digital_life_teenager","C1",0.362318841,0.747058824,2.52631578947368,163.050847457627,2.10526315789474
"C1_double_dutch_brain_game","C1",0.352941176,0.670520231,4.32692307692308,143.863636363636,2.64423076923077
"C1_duct_tape_surfing","C1",0.359223301,0.732758621,3.08988764044944,154.071428571429,0.842696629213483
"C1_eddsworld_climate_change","C1",0.326923077,0.73006135,7.39644970414201,83.9004149377593,1.4792899408284
"C1_english_great","C1",0.239583333,0.77173913,4.65686274509804,148.09667673716,1.22549019607843
"C1_entrepreneurs_are_great","C1",0.266666667,0.773519164,4.31372549019608,145.222929936306,1.69934640522876
"C1_exploring_german_castle","C1",0.339285714,0.726744186,3.69515011547344,130.854271356784,0.23094688221709
"C1_five_days_iceland_black_beaches_baby_geysers","C1",0.298850575,0.77076412,4.33996383363472,183.305785123967,1.08499095840868
"C1_flying_visit_home_uk","C1",0.212962963,0.796610169,2.21674876847291,164.646464646465,0.738916256157635
"C1_food_waste_rebel","C1",0.468085106,0.742424242,9.26365795724466,134.764397905759,2.85035629453682
"C1_germany_vs_uk_four_big_differences","C1",0.503759398,0.754208754,4.41941074523397,185.092838196286,1.55979202772964
"C1_have_you_ever_been_bullied","C1",0.328467153,0.767932489,4.57746478873239,162.779456193353,1.76056338028169
"C1_help_others_help_yourself","C1",0.254545455,0.80730897,5.30474040632054,176.435643564356,3.49887133182844
"C1_how_false_information_spreads","C1",0.441176471,0.793650794,6.00858369098712,165.578635014837,2.57510729613734
"C1_how_general_election_works","C1",0.44,0.693430657,5.42635658914729,191.111111111111,4.26356589147287
"C1_how_has_hoodie_become_so_fashionable","C1",0.372881356,0.797833935,10,179.047619047619,3.21428571428571
"C1_how_i_became_fluent_english_joses_story","C1",0.398496241,0.769503546,3.67504835589942,167.741935483871,1.06382978723404
"C1_how_make_your_own_christmas_card","C1",0.321428571,0.764976959,4.45783132530121,214.913793103448,1.44578313253012
"C1_how_sew_button","C1",0.264705882,0.666666667,5,136.457142857143,3.75
"C1_how_to_break_into_the_music_industry","C1",0.405660377,0.813291139,5.62571756601607,167.006369426752,2.18140068886338
"C1_how_wash_your_hair_space","C1",0.4375,0.701388889,2.28426395939086,133.714285714286,0.50761421319797
"C1_innovation_great","C1",0.224489796,0.785714286,6.3754427390791,137.617728531856,3.06965761511216
"C1_innovation_in_business","C1",0.363636364,0.798245614,5.25477707006369,130.309278350515,6.05095541401274
"C1_international_space_station_toilet_tour","C1",0.369565217,0.728395062,7.48129675810474,138.620689655172,0.748129675810474
"C1_introverts_redressing_the_balance","C1",0.382022472,0.812698413,5.28169014084507,156.80981595092,1.87793427230047
"C1_knitting_it_just_grannies","C1",0.376811594,0.757009346,4.90693739424704,182.769230769231,1.01522842639594
"C1_learning_drive_everything_you_need_know","C1",0.393103448,0.757785467,4.26065162907268,195.687331536388,0.835421888053467
"C1_literature_great","C1",0.282608696,0.736040609,5.15463917525773,115.544554455446,0.515463917525773
"C1_living_online","C1",0.571428571,0.75,3.75,198.272727272727,0.694444444444444
"C1_lottery_comedy_walk_park","C1",0.152173913,0.628571429,5.62770562770563,32.1478060046189,0.865800865800866
"C1_making_snow_olympics","C1",0.269230769,0.74537037,6.43863179074447,140,1.81086519114688
"C1_man_or_beast","C1",0.333333333,0.780918728,4.6070460704607,168.365019011407,2.710027100271
"C1_meet_lauren_singer_zero_waste_girl","C1",0.329896907,0.762411348,7.01058201058201,164.244604316547,0.661375661375661
"C1_my_study_tips","C1",0.487804878,0.769230769,6.15384615384615,167.068965517241,1.64102564102564
"C1_my_top_five_musicals","C1",0.333333333,0.778181818,4.5632333767927,173.636363636364,2.21642764015645
"C1_new_years_resolutions","C1",0.385416667,0.727272727,2.88335517693316,160.774647887324,1.57273918741809
"C1_peanut_butter_jelly_space","C1",0.409090909,0.713043478,6.72268907563025,166.976744186047,0.840336134453782
"C1_penguins","C1",0.428571429,0.641509434,11.4285714285714,46.6666666666667,4.28571428571429
"C1_pink_phones_cambodia","C1",0.166666667,0.729166667,6.97674418604651,112.258064516129,2.90697674418605
